SA3_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
79797,3,0,3,0,60
79999,284,173,22,0,1635
80101,7018,5343,2139,788,51956
80103,152,94,27,10,1067
80104,3489,1579,561,97,37177
80105,3672,2226,1123,604,32577
80106,2827,2001,886,600,17914
80107,7693,3995,1408,485,42008
80108,1937,1793,898,380,12788
80109,3114,2390,1505,593,20654
80110,179,90,28,3,2835
80111,48,17,4,3,339
89797,0,0,0,0,0
89999,57,17,3,0,339
90101,151,58,8,0,1027
90102,42,16,9,0,216
90103,23,12,3,0,218
90104,205,146,71,24,877
99797,0,0,0,0,4
99999,4,4,0,0,31
